ジャンル名,売上指数（千円）,シェア,商品ランク入り数
蒲焼き,264522,25.27%,7760
丼,180765,17.27%,4901
セット・詰め合わせ,129221,12.35%,7198
みそ汁,111076,10.61%,12773
お茶漬け,53497,5.11%,3398
その他,51681,4.94%,8261
佃煮,46709,4.46%,11434
唐揚げ,33958,3.24%,2147
雑炊,19465,1.86%,1295
おにぎり,18595,1.78%,1745
お粥,17015,1.63%,2764
おこわ,16335,1.56%,1187
寿司,16037,1.53%,2268
煮物,12621,1.21%,2965
お吸い物,11195,1.07%,1471
刺身・たたき,10010,0.96%,884
焼豚,9814,0.94%,1212
お好み焼き,9182,0.88%,1025
焼き鳥・つくね,9045,0.86%,1621
焼き魚,6470,0.62%,657
たこ焼き,4123,0.39%,726
ひつまぶし,3987,0.38%,288
白焼き,2878,0.27%,273
天ぷら,2624,0.25%,634
おでん,2539,0.24%,594
赤飯,1688,0.16%,372
茶碗蒸し,891,0.09%,176
卵焼き,356,0.03%,108
天かす・揚げ玉,276,0.03%,71
もんじゃ焼き,56,0.01%,12
おひたし,55,0.01%,24
卯の花,9,0.00%,2
なます・酢の物,3,0.00%,1
