ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1545549,23.11%,38181
その他,1421006,21.25%,30982
ビタミン,567643,8.49%,39629
植物性エキス,558144,8.35%,46786
ファイトケミカル,519121,7.76%,14659
アミノ酸,487239,7.29%,24480
ミネラル,273841,4.09%,25988
プロバイオティクス,220450,3.30%,11927
コラーゲン,167177,2.50%,10904
脂肪酸・オイル,153235,2.29%,10419
酵素,144047,2.15%,10630
食物繊維,135143,2.02%,8009
ビタミン・ミネラル混合,85501,1.28%,3211
グルコサミン・コンドロイチン,65827,0.98%,4302
プラセンタ,62121,0.93%,3777
動物性エキス,60473,0.90%,4392
クエン酸,58959,0.88%,4280
ラクトフェリン,34919,0.52%,1006
ローヤルゼリー,29031,0.43%,1326
プロポリス,21430,0.32%,2196
動植物性混合エキス,19454,0.29%,1300
ヒアルロン酸,18826,0.28%,1427
オリゴ糖,18653,0.28%,2267
ミドリムシ,13877,0.21%,813
核酸,5600,0.08%,389
