ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,99636,17.08%,17414
にんにく,84600,14.51%,6538
サツマイモ,56627,9.71%,5503
たまねぎ,51133,8.77%,4157
その他野菜,44345,7.60%,7817
トマト,34438,5.90%,2940
セット・詰め合わせ,30902,5.30%,2697
ジャガイモ,29886,5.12%,3381
きのこ,22688,3.89%,4493
カット野菜,19121,3.28%,1954
生姜,18822,3.23%,2139
アスパラガス,16131,2.77%,1427
にんじん,12356,2.12%,1557
その他,10451,1.79%,1969
とうもろこし,9739,1.67%,1306
山菜,9530,1.63%,1407
ねぎ,7301,1.25%,1254
かぼちゃ,4763,0.82%,776
ごぼう,3855,0.66%,963
水煮野菜,3061,0.52%,475
らっきょう,2780,0.48%,421
キャベツ,2765,0.47%,689
ほうれん草,2710,0.46%,711
大根,1617,0.28%,625
里芋,1207,0.21%,346
キュウリ,732,0.13%,229
ナス,700,0.12%,318
白菜,557,0.10%,199
レタス,528,0.09%,244
ニラ,266,0.05%,95
