ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,8374,22.89%,1413
ナマコ,5183,14.17%,246
アユ,3266,8.93%,757
クエ,2250,6.15%,181
ノドグロ,1691,4.62%,284
サメ,1615,4.42%,232
エイ,1510,4.13%,442
カレイ,1488,4.07%,472
カンパチ,1410,3.85%,240
アンコウ,1158,3.17%,202
カワハギ,1085,2.96%,332
ニシン,1071,2.93%,412
ヒラメ,1042,2.85%,156
ハモ,872,2.38%,159
ハタハタ,687,1.88%,205
トビウオ,674,1.84%,227
クラゲ,640,1.75%,229
マス,437,1.19%,150
サワラ,384,1.05%,175
アカメ・メヒカリ,332,0.91%,125
イワナ,299,0.82%,138
カジキ,274,0.75%,132
キス,241,0.66%,167
コイ,186,0.51%,130
タチウオ,140,0.38%,143
カサゴ,77,0.21%,125
カマス,74,0.20%,150
スズキ,41,0.11%,107
サヨリ,26,0.07%,99
オコゼ,19,0.05%,99
コチ,15,0.04%,97
メバル,13,0.04%,99
イサキ,7,0.02%,96
アイナメ,0,0.00%,124
ヤマメ,0,0.00%,93
