ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1550460,22.17%,37364
その他,1269597,18.15%,30701
植物性エキス,738033,10.55%,47114
ビタミン,558801,7.99%,37486
ファイトケミカル,541988,7.75%,13161
アミノ酸,506551,7.24%,22982
ミネラル,256017,3.66%,22289
プロバイオティクス,252141,3.61%,11651
脂肪酸・オイル,226336,3.24%,10999
コラーゲン,215180,3.08%,11329
酵素,184751,2.64%,11959
プラセンタ,143348,2.05%,4121
食物繊維,110330,1.58%,6909
グルコサミン・コンドロイチン,81673,1.17%,4820
動物性エキス,69696,1.00%,4634
ビタミン・ミネラル混合,64237,0.92%,2221
クエン酸,43388,0.62%,3040
ラクトフェリン,34276,0.49%,949
プロポリス,30710,0.44%,2922
ミドリムシ,27040,0.39%,987
ヒアルロン酸,23190,0.33%,1521
オリゴ糖,22903,0.33%,2204
ローヤルゼリー,20106,0.29%,1190
動植物性混合エキス,18152,0.26%,1379
核酸,4781,0.07%,379
