ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1928582,25.57%,107954
お茶・紅茶,1905960,25.27%,172511
水・炭酸水,1340744,17.78%,31000
炭酸飲料,879579,11.66%,29023
野菜・果実飲料,723100,9.59%,31000
乳酸菌飲料,140325,1.86%,9747
スポーツドリンク,125642,1.67%,10885
植物性ミルク,121710,1.61%,13132
お酢飲料,100039,1.33%,9292
甘酒,70548,0.94%,7460
その他,54375,0.72%,5305
希釈用ドリンク,40921,0.54%,5305
スムージー,28919,0.38%,1603
ココア・チョコレートドリンク,25506,0.34%,4062
ゼリー飲料,22566,0.30%,3357
牛乳,18629,0.25%,2694
フルーツ入り乳飲料,5196,0.07%,651
生姜湯,5152,0.07%,901
柚子茶,3824,0.05%,339
