ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,117081,35.06%,2468
盆提灯,76746,22.98%,5693
その他,30963,9.27%,4540
仏像,21552,6.45%,569
位牌,18473,5.53%,1399
具足・仏具セット,16754,5.02%,1489
りん,13118,3.93%,1503
骨壷,8850,2.65%,1170
掛軸,5412,1.62%,744
経机,4955,1.48%,463
仏花,4162,1.25%,785
香炉,3119,0.93%,699
花立,2490,0.75%,540
線香立,2125,0.64%,783
具足,1991,0.60%,371
香道具,1068,0.32%,296
仏具用お手入れ用品,941,0.28%,411
香炉灰・香炉石,935,0.28%,524
経本,800,0.24%,374
骨袋,782,0.23%,282
線香着火器,517,0.15%,190
木魚,466,0.14%,122
香立て,366,0.11%,152
水晶玉,267,0.08%,134
