ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ダンボール,79138,38.07%,10161
緩衝材,60615,29.16%,5762
その他,30042,14.45%,3861
梱包テープ,27319,13.14%,4858
ポリエチレンシート,8407,4.04%,1152
クラフト紙,1836,0.88%,620
紙管,493,0.24%,165
