ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,199462,30.98%,16115
スポンジ・たわし・ブラシ,177638,27.59%,2937
モップ,64638,10.04%,5293
雑巾・テーブルダスター,30225,4.69%,4980
ほうき,28030,4.35%,4481
使い捨てクロス,25329,3.93%,0
フローリングワックス,25033,3.89%,2658
ガラス・サッシ掃除用具,21203,3.29%,3392
フロアワイパー・ダスター取替シート,17238,2.68%,1924
フロアワイパー・ダスター本体,15596,2.42%,4102
バケツ,12089,1.88%,2613
粘着式クリーナー,11678,1.81%,2463
トイレポット,5992,0.93%,941
はたき,3267,0.51%,746
スプレーボトル,3049,0.47%,884
ちりとり,2430,0.38%,803
モップ絞り器,705,0.11%,150
ラバーカップ,260,0.04%,142
たわし(2002削除),0,0.00%,2203
トイレ用掃除用具(2002削除),0,0.00%,3934
パイプブラシ(2002削除),0,0.00%,207
柄付ブラシ・柄付たわし(2002削除),0,0.00%,5028
高圧洗浄機(1611削除),0,0.00%,4086
