ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,200648,29.52%,30156
その他,133108,19.59%,15763
モップ,75770,11.15%,5548
雑巾・テーブルダスター,43480,6.40%,6071
フローリングワックス,36399,5.36%,2874
ほうき,32907,4.84%,4331
ガラス・サッシ掃除用具,32100,4.72%,3889
使い捨てクロス,26461,3.89%,2255
フロアワイパー・ダスター取替シート,21154,3.11%,2825
粘着式クリーナー,19935,2.93%,3365
フロアワイパー・ダスター本体,18090,2.66%,3926
バケツ,13716,2.02%,2622
トイレポット,10832,1.59%,1153
はたき,5947,0.88%,987
スプレーボトル,3719,0.55%,1064
ちりとり,2811,0.41%,820
モップ絞り器,1785,0.26%,185
ラバーカップ,741,0.11%,165
