ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,225660,31.29%,32730
その他,157894,21.89%,16695
モップ,54180,7.51%,5835
フロアワイパー・ダスター本体,39796,5.52%,4444
フローリングワックス,36849,5.11%,2537
ほうき,32165,4.46%,4511
ガラス・サッシ掃除用具,27816,3.86%,4070
雑巾・テーブルダスター,27761,3.85%,5192
はたき,27143,3.76%,1493
粘着式クリーナー,22264,3.09%,3853
フロアワイパー・ダスター取替シート,19353,2.68%,3380
バケツ,16485,2.29%,2554
使い捨てクロス,13481,1.87%,2305
トイレポット,9951,1.38%,1142
スプレーボトル,4577,0.63%,1235
ちりとり,2847,0.39%,729
ラバーカップ,2229,0.31%,425
モップ絞り器,763,0.11%,125
