ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ブドウ,313651,25.04%,11565
みかん,222014,17.72%,7501
りんご,135946,10.85%,8426
和梨,132465,10.57%,8093
セット・詰め合わせ,68568,5.47%,3839
柿,64120,5.12%,4716
栗,51097,4.08%,3114
桃,43987,3.51%,2906
メロン,34626,2.76%,2172
ブルーベリー,32366,2.58%,1522
その他,26419,2.11%,2986
洋梨,21184,1.69%,1490
レモン,20552,1.64%,2446
スイカ,12023,0.96%,822
イチジク,11220,0.90%,1072
マンゴー,8752,0.70%,873
いちご,7949,0.63%,1122
ザクロ,5942,0.47%,485
キウイフルーツ,4339,0.35%,539
かぼす,3813,0.30%,436
プラム,3746,0.30%,458
バナナ,3595,0.29%,541
すだち,3506,0.28%,568
パイナップル,3006,0.24%,514
グレープフルーツ,2726,0.22%,387
梅,2657,0.21%,543
ゆず,2329,0.19%,329
オレンジ,1775,0.14%,265
アボカド,1376,0.11%,357
ドラゴンフルーツ,1130,0.09%,181
パッションフルーツ,1095,0.09%,87
ドリアン,963,0.08%,129
じゃばら,866,0.07%,117
ライチ,647,0.05%,155
パパイヤ,636,0.05%,125
さくらんぼ,599,0.05%,85
びわ,508,0.04%,85
あんず,474,0.04%,143
ミラクルフルーツ,100,0.01%,22
マンゴスチン,6,0.00%,1
