ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,293586,17.54%,27488
油,277902,16.61%,27673
砂糖・甘味料,120301,7.19%,15793
しお,114526,6.84%,19079
スパイス,98668,5.90%,28766
ソース・たれ,95537,5.71%,24183
しょうゆ,88351,5.28%,21440
酢,72894,4.36%,10676
みそ,61852,3.70%,16834
ふりかけ,58431,3.49%,14287
セット・詰め合わせ,58071,3.47%,3760
その他,44925,2.68%,8948
ドレッシング,37406,2.24%,10572
料理の素,33661,2.01%,10834
麹,29056,1.74%,3886
中華調味料,26023,1.56%,6708
めんつゆ,24496,1.46%,6258
ミックススパイス・混合調味料,23991,1.43%,6681
ポン酢,20971,1.25%,4811
みりん,20285,1.21%,2939
マヨネーズ,11083,0.66%,2710
アジアン・エスニック調味料,10047,0.60%,2716
韓国調味料,7505,0.45%,3250
酒粕,6863,0.41%,1518
料理酒,6489,0.39%,1114
ケチャップ,6367,0.38%,2060
ハーブ,6121,0.37%,3450
わさび,4715,0.28%,1595
ラード,4063,0.24%,242
ラーメンスープ,3682,0.22%,1368
からし・マスタード,3587,0.21%,1731
生わさび,2023,0.12%,428
