ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,1096188,40.18%,180085
手帳・ノート・紙製品,381232,13.97%,130854
画材,134974,4.95%,29659
ファイル・バインダー,130270,4.77%,36764
その他,130216,4.77%,20689
ギフトラッピング用品,127874,4.69%,67259
ラベル・ステッカー,100069,3.67%,36249
机上収納・整理用品,97935,3.59%,18001
書道用具,84080,3.08%,11927
プレゼンテーション用品,82178,3.01%,8757
写真整理用品,79905,2.93%,12087
はさみ・裁断用品,59004,2.16%,13333
セロハンテープ・のり・接着剤,44434,1.63%,17692
ブックカバー,34711,1.27%,6761
クリップ・結束用具,23492,0.86%,9355
製図用品,20077,0.74%,7981
ホッチキス・穴あきパンチ,15262,0.56%,4871
紙幣計数機・コインカウンタ,15032,0.55%,410
名札,14817,0.54%,4503
マグネットシート,12472,0.46%,1517
下敷き,9292,0.34%,4389
マグネット,7763,0.28%,3990
ブックマーク・しおり,6963,0.26%,2420
チェックライター・ナンバーリング,6955,0.25%,644
画鋲・ピン,5208,0.19%,1241
製本機,3453,0.13%,836
紙めくり・事務用スポンジ,2722,0.10%,1591
タスキ・腕章,1072,0.04%,211
レタースケール,692,0.03%,93
