ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,1180743,39.83%,204945
手帳・ノート・紙製品,399362,13.47%,147368
ギフトラッピング用品,146420,4.94%,70723
ファイル・バインダー,145084,4.89%,43760
その他,143191,4.83%,27458
画材,137651,4.64%,34961
机上収納・整理用品,127627,4.31%,23153
写真整理用品,100607,3.39%,14975
ラベル・ステッカー,98078,3.31%,38358
プレゼンテーション用品,90568,3.06%,10531
書道用具,89816,3.03%,13763
はさみ・裁断用品,65330,2.20%,14451
セロハンテープ・のり・接着剤,52491,1.77%,20899
ブックカバー,44055,1.49%,8189
クリップ・結束用具,25145,0.85%,10439
製図用品,21766,0.73%,9403
名札,17249,0.58%,5794
ホッチキス・穴あきパンチ,15553,0.52%,5573
マグネットシート,14777,0.50%,1787
紙幣計数機・コインカウンタ,10994,0.37%,389
マグネット,10152,0.34%,4876
下敷き,6342,0.21%,4004
ブックマーク・しおり,5167,0.17%,2442
画鋲・ピン,4213,0.14%,1302
製本機,3662,0.12%,1010
チェックライター・ナンバーリング,3626,0.12%,401
紙めくり・事務用スポンジ,3038,0.10%,1765
タスキ・腕章,1037,0.03%,225
レタースケール,645,0.02%,110
