ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ブレンド,71841,72.56%,2855
その他,17652,17.83%,3106
黒米,4810,4.86%,982
キヌア,1661,1.68%,333
きび,1359,1.37%,431
アマランサス,753,0.76%,183
あわ,461,0.47%,196
赤米,274,0.28%,193
ひえ,201,0.20%,155
