ジャンル名,売上指数（千円）,シェア,商品ランク入り数
盆提灯,97315,27.68%,5304
仏壇,94676,26.93%,2152
その他,43838,12.47%,6079
位牌,20697,5.89%,1451
りん,17901,5.09%,1796
具足・仏具セット,17727,5.04%,1526
骨壷,11269,3.21%,1315
仏像,7262,2.07%,451
経机,6345,1.81%,536
仏花,6037,1.72%,1046
掛軸,5276,1.50%,786
花立,5031,1.43%,965
香炉,4119,1.17%,811
具足,3463,0.99%,390
線香立,3369,0.96%,1188
香炉灰・香炉石,1568,0.45%,657
仏具用お手入れ用品,1107,0.31%,432
経本,1047,0.30%,463
香道具,866,0.25%,298
骨袋,838,0.24%,275
木魚,738,0.21%,101
線香着火器,483,0.14%,218
香立て,431,0.12%,151
水晶玉,122,0.03%,35
