ジャンル名,売上指数（千円）,シェア,商品ランク入り数
山芋・自然薯,12350,26.94%,1624
その他,12151,26.51%,2496
れんこん,4811,10.50%,841
菊芋,3323,7.25%,597
たけのこ,2499,5.45%,347
ブロッコリー,2369,5.17%,533
小松菜,1123,2.45%,374
ゴーヤー,1079,2.35%,226
カリフラワー,980,2.14%,228
銀杏,914,1.99%,176
明日葉,769,1.68%,129
オクラ,728,1.59%,230
かぶ,542,1.18%,217
セロリ,468,1.02%,180
ヤーコン,461,1.01%,131
ピーマン,356,0.78%,223
大葉・しそ,232,0.51%,157
春菊,189,0.41%,151
行者にんにく,121,0.26%,111
パセリ,110,0.24%,132
エシャロット,99,0.22%,130
パクチー・コリアンダー,79,0.17%,112
水菜,62,0.14%,135
ルッコラ,18,0.04%,131
