ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,93814,43.11%,1990
その他,27271,12.53%,3770
りん,18327,8.42%,1509
位牌,17968,8.26%,1182
具足・仏具セット,12820,5.89%,1075
骨壷,9617,4.42%,1105
仏像,7675,3.53%,522
掛軸,5041,2.32%,626
香炉,3376,1.55%,654
経机,3218,1.48%,391
仏花,3001,1.38%,585
盆提灯,2424,1.11%,273
線香立,2397,1.10%,849
花立,2151,0.99%,474
具足,1573,0.72%,259
香炉灰・香炉石,1398,0.64%,632
仏具用お手入れ用品,1254,0.58%,450
経本,1066,0.49%,439
香道具,1015,0.47%,277
骨袋,651,0.30%,235
線香着火器,490,0.23%,214
木魚,469,0.22%,62
香立て,465,0.21%,157
水晶玉,113,0.05%,40
