ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1697445,25.34%,41206
その他,1275145,19.03%,30000
植物性エキス,599939,8.96%,47205
ビタミン,506265,7.56%,38400
ファイトケミカル,485729,7.25%,13913
アミノ酸,478840,7.15%,24059
プロバイオティクス,225638,3.37%,11657
ミネラル,225538,3.37%,23196
酵素,214675,3.20%,11723
脂肪酸・オイル,197443,2.95%,11178
コラーゲン,177955,2.66%,11188
プラセンタ,122150,1.82%,4222
食物繊維,102873,1.54%,7195
ビタミン・ミネラル混合,78710,1.17%,2587
グルコサミン・コンドロイチン,67130,1.00%,4639
動物性エキス,58231,0.87%,4391
クエン酸,37115,0.55%,3416
オリゴ糖,30183,0.45%,2380
ラクトフェリン,25604,0.38%,918
プロポリス,20081,0.30%,2101
ローヤルゼリー,19513,0.29%,1198
ヒアルロン酸,19245,0.29%,1483
ミドリムシ,15981,0.24%,983
動植物性混合エキス,12930,0.19%,1294
核酸,4831,0.07%,448
