ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1819310,27.49%,108017
お茶・紅茶,1785699,26.98%,165313
水・炭酸水,1086400,16.41%,30237
炭酸飲料,640364,9.67%,28754
野菜・果実飲料,630503,9.53%,30241
乳酸菌飲料,115030,1.74%,8898
その他,96987,1.47%,10837
スポーツドリンク,96653,1.46%,9264
お酢飲料,91715,1.39%,9032
植物性ミルク,83421,1.26%,10359
甘酒,62323,0.94%,7758
希釈用ドリンク,26762,0.40%,3762
ゼリー飲料,19998,0.30%,3111
ココア・チョコレートドリンク,19618,0.30%,4514
牛乳,18346,0.28%,2768
スムージー,13869,0.21%,1050
生姜湯,5576,0.08%,1101
フルーツ入り乳飲料,3678,0.06%,532
柚子茶,2727,0.04%,251
