ジャンル名,売上指数（千円）,シェア,商品ランク入り数
日用消耗品,4846416,32.76%,114348
文房具・事務用品,1440870,9.74%,543666
バス用品,1409069,9.52%,119140
生活雑貨,1338761,9.05%,318946
手芸・クラフト・生地,1221407,8.26%,483771
タオル,763377,5.16%,75929
掃除用品,643863,4.35%,70082
防災関連グッズ,631818,4.27%,63591
仏壇・仏具・神具,493266,3.33%,60988
防犯関連グッズ,450488,3.05%,29553
洗濯用品,444745,3.01%,56663
その他,387940,2.62%,27543
印鑑・ハンコ,357671,2.42%,73133
トイレ用品,207423,1.40%,45526
旅行用品,105491,0.71%,18291
冠婚葬祭,44977,0.30%,13729
洋服ブラシ・毛玉取り,6438,0.04%,780
アロマ・お香(1703削除),0,0.00%,33366
洗剤・柔軟剤・クリーナー(1703削除),0,0.00%,106362
洗面用具(1703削除),0,0.00%,14790
