ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,183120,20.86%,7314
みかん,108074,12.31%,10271
マンゴー,105959,12.07%,4908
メロン,77156,8.79%,6107
梅,70275,8.01%,6495
セット・詰め合わせ,60253,6.87%,4213
りんご,37427,4.26%,3059
桃,35127,4.00%,3561
スイカ,29997,3.42%,3215
ライチ,21012,2.39%,827
レモン,16743,1.91%,2924
ブドウ,15897,1.81%,1725
びわ,14048,1.60%,1205
いちご,13795,1.57%,2133
その他,12317,1.40%,2695
ブルーベリー,10476,1.19%,1136
柿,9314,1.06%,1174
パイナップル,9298,1.06%,1507
オレンジ,8495,0.97%,1334
和梨,5335,0.61%,403
キウイフルーツ,4136,0.47%,696
あんず,3757,0.43%,430
グレープフルーツ,3373,0.38%,575
プラム,2849,0.32%,450
栗,2811,0.32%,530
バナナ,2727,0.31%,669
ドリアン,2293,0.26%,231
ザクロ,2190,0.25%,185
パッションフルーツ,1640,0.19%,256
イチジク,1361,0.16%,245
マンゴスチン,1334,0.15%,163
すだち,1132,0.13%,218
パパイヤ,982,0.11%,223
アボカド,910,0.10%,0
ドラゴンフルーツ,770,0.09%,182
じゃばら,419,0.05%,141
ゆず,300,0.03%,161
かぼす,262,0.03%,139
洋梨,184,0.02%,119
ミラクルフルーツ,110,0.01%,98
ドライフルーツ(1409削除),0,0.00%,23412
