ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,176686,31.29%,32184
その他,119942,21.24%,15834
モップ,52679,9.33%,5771
フローリングワックス,31084,5.51%,2450
雑巾・テーブルダスター,29269,5.18%,4757
ほうき,25601,4.53%,4195
ガラス・サッシ掃除用具,24938,4.42%,4132
フロアワイパー・ダスター本体,20702,3.67%,3845
フロアワイパー・ダスター取替シート,16734,2.96%,3233
粘着式クリーナー,15805,2.80%,3051
バケツ,14823,2.63%,2357
使い捨てクロス,14798,2.62%,2322
トイレポット,6814,1.21%,963
はたき,5934,1.05%,1006
スプレーボトル,3544,0.63%,1059
ちりとり,3292,0.58%,732
ラバーカップ,1234,0.22%,279
モップ絞り器,712,0.13%,101
