ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,7891,27.38%,1906
たけのこ,3887,13.49%,575
ブロッコリー,3461,12.01%,716
山芋・自然薯,3409,11.83%,638
菊芋,3154,10.95%,446
れんこん,1324,4.59%,484
カリフラワー,1130,3.92%,165
明日葉,867,3.01%,123
行者にんにく,831,2.88%,105
小松菜,548,1.90%,256
オクラ,510,1.77%,210
大葉・しそ,393,1.36%,155
ピーマン,379,1.32%,211
ゴーヤー,327,1.14%,95
セロリ,252,0.87%,103
パセリ,116,0.40%,72
エシャロット,95,0.33%,40
かぶ,59,0.20%,40
銀杏,53,0.18%,14
パクチー・コリアンダー,47,0.16%,29
水菜,31,0.11%,28
ヤーコン,26,0.09%,7
春菊,15,0.05%,17
ルッコラ,14,0.05%,9
