ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,6968,35.90%,1189
定規,4774,24.60%,3143
図面ケース,2534,13.06%,445
コンパス,1965,10.12%,920
トレーシングペーパー,1297,6.68%,387
製図用テンプレート,849,4.37%,498
三角定規,470,2.42%,211
製図用ペン,408,2.10%,249
分度器,144,0.74%,89
