ジャンル名,売上指数（千円）,シェア,商品ランク入り数
カニ,3512545,53.02%,21755
貝類,620960,9.37%,17235
魚卵,519408,7.84%,19167
サバ,277959,4.20%,3920
加工品,276382,4.17%,24625
セット・詰め合わせ,217057,3.28%,10574
サケ,195615,2.95%,10436
エビ,188005,2.84%,9412
マグロ,164326,2.48%,6086
フグ,163582,2.47%,4317
イカ,119617,1.81%,10588
海藻類,64734,0.98%,10440
その他水産物,60153,0.91%,7859
ウニ,52941,0.80%,2295
ブリ,43806,0.66%,1157
ホッケ,23808,0.36%,1235
タイ,23460,0.35%,2414
カツオ,21855,0.33%,1899
イワシ,14123,0.21%,2603
その他,13248,0.20%,1840
タコ,12585,0.19%,1938
アジ,10820,0.16%,1268
タラ,10080,0.15%,1163
サンマ,8603,0.13%,686
シシャモ,6209,0.09%,469
生ちりめん・生しらす,2449,0.04%,493
