ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ロングパスタ,88588,81.86%,8740
その他,12860,11.88%,1424
ショートパスタ,6226,5.75%,1896
ラザニア,218,0.20%,55
クスクス,189,0.17%,60
ニョッキ,136,0.13%,35
