ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,78497,30.57%,7047
こめ油,41045,15.98%,2886
ココナッツオイル,28389,11.06%,2209
ごま油,25151,9.79%,3004
亜麻仁油,21983,8.56%,1520
その他,16234,6.32%,2523
なたね油・キャノーラ油,14525,5.66%,1454
えごま油,9228,3.59%,1053
サラダ油,7088,2.76%,492
グレープシードオイル,3990,1.55%,202
セット・詰め合わせ,3552,1.38%,539
大豆油,2514,0.98%,175
ひまわり油,1036,0.40%,148
アボカドオイル,1030,0.40%,123
トリュフオイル,731,0.28%,112
椿油,629,0.25%,60
べに花油,600,0.23%,59
玄米油,441,0.17%,74
ピーナッツオイル,76,0.03%,23
コーン油,32,0.01%,8
マスタードオイル,10,0.00%,5
