ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,117698,20.53%,18821
サツマイモ,77162,13.46%,7405
にんにく,73079,12.74%,6236
その他野菜,50909,8.88%,8728
きのこ,33930,5.92%,5031
生姜,32162,5.61%,2215
たまねぎ,31798,5.55%,3395
ジャガイモ,25837,4.51%,3083
セット・詰め合わせ,24754,4.32%,2836
トマト,15339,2.68%,2034
カット野菜,14222,2.48%,1607
にんじん,13877,2.42%,1811
ねぎ,12564,2.19%,1738
その他,12461,2.17%,2427
山菜,6275,1.09%,967
里芋,6126,1.07%,1044
ごぼう,4121,0.72%,977
大根,3679,0.64%,806
かぼちゃ,3459,0.60%,696
とうもろこし,3064,0.53%,779
ほうれん草,2137,0.37%,657
水煮野菜,2045,0.36%,415
キャベツ,1836,0.32%,556
らっきょう,1411,0.25%,214
アスパラガス,859,0.15%,155
白菜,759,0.13%,296
レタス,591,0.10%,240
キュウリ,495,0.09%,166
ナス,489,0.09%,244
ニラ,272,0.05%,94
