ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,27204,13.64%,25055
リボン,22798,11.43%,19770
その他,17508,8.78%,9193
手芸用テープ,16923,8.49%,12564
ひも,15913,7.98%,8958
ボタン,14412,7.23%,13461
ファスナー,12925,6.48%,9157
ミシン糸,11199,5.62%,7584
レース,9125,4.58%,10726
接着テープ・接着芯,8420,4.22%,3783
持ち手・ハンドル,6176,3.10%,2641
ゴム,5143,2.58%,3817
ホック,4982,2.50%,2775
口金,4565,2.29%,2730
芯地,3452,1.73%,1295
面ファスナー,3355,1.68%,1243
手縫い糸,2908,1.46%,2680
型紙・パターン,2488,1.25%,1989
バックル,2366,1.19%,2020
ブレード,2188,1.10%,1842
ネームシール,1556,0.78%,858
チェーン,1389,0.70%,1050
スパンコール,1179,0.59%,1533
裏地,751,0.38%,451
マラボー,341,0.17%,197
肩パット,150,0.08%,161
