ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,799068,34.34%,12363
入浴剤,509758,21.90%,29445
バスマット,143103,6.15%,12205
整理棚・ラック,134010,5.76%,10754
その他,116870,5.02%,12499
ソープボトル・シャンプーボトル,114256,4.91%,9539
風呂ふた,112129,4.82%,6888
椅子,88941,3.82%,5720
自動ソープディスペンサー,67274,2.89%,2222
タオルハンガー,53090,2.28%,6149
バス保温器,36647,1.57%,546
サウナハット,26467,1.14%,1459
ボディタオル,24082,1.03%,6329
洗面器・風呂桶,22930,0.99%,3155
セット,17672,0.76%,1164
浴槽・浴室内マット,14668,0.63%,1999
石けんケース・石けん台,11482,0.49%,2930
ボディスポンジ,9348,0.40%,2209
シャワーカーテン,6995,0.30%,1607
シャワーヘッドホルダー・シャワーフック,5579,0.24%,895
ボディブラシ,4764,0.20%,1445
バスピロー,4432,0.19%,548
バスブーツ,1771,0.08%,350
泡立てネット,1014,0.04%,353
軽石,874,0.04%,297
