ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,26899,13.13%,23870
リボン,25475,12.43%,20920
その他,18244,8.90%,9092
手芸用テープ,17209,8.40%,12332
ひも,16509,8.06%,9301
ボタン,14618,7.13%,13897
ファスナー,13204,6.44%,8902
ミシン糸,11644,5.68%,7393
レース,8992,4.39%,10285
接着テープ・接着芯,8620,4.21%,3601
持ち手・ハンドル,5879,2.87%,2478
ゴム,4842,2.36%,3554
口金,4830,2.36%,2750
ホック,4661,2.27%,2697
芯地,3913,1.91%,1314
面ファスナー,3350,1.63%,1286
手縫い糸,3076,1.50%,2747
型紙・パターン,2452,1.20%,2026
ブレード,2426,1.18%,1951
バックル,2233,1.09%,2040
ネームシール,1807,0.88%,945
チェーン,1404,0.69%,1094
スパンコール,1161,0.57%,1627
裏地,769,0.38%,436
マラボー,480,0.23%,219
肩パット,186,0.09%,156
