ジャンル名,売上指数（千円）,シェア,商品ランク入り数
タイ料理,1650,32.96%,961
南米料理,1261,25.20%,534
ベトナム料理,935,18.68%,549
その他,761,15.20%,544
セット・詰め合わせ,398,7.96%,128
