ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,211855,29.80%,32456
その他,146771,20.65%,16717
モップ,102804,14.46%,6198
雑巾・テーブルダスター,40817,5.74%,5698
ガラス・サッシ掃除用具,40244,5.66%,5677
フローリングワックス,35899,5.05%,3309
ほうき,29170,4.10%,4316
フロアワイパー・ダスター本体,18857,2.65%,4038
フロアワイパー・ダスター取替シート,16710,2.35%,3019
粘着式クリーナー,16390,2.31%,3341
使い捨てクロス,16191,2.28%,2322
バケツ,14322,2.01%,2429
はたき,6666,0.94%,1153
トイレポット,6649,0.94%,960
ちりとり,2943,0.41%,821
スプレーボトル,2898,0.41%,1024
ラバーカップ,850,0.12%,191
モップ絞り器,811,0.11%,141
