ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,71967,14.60%,14736
にんにく,64335,13.05%,6166
たまねぎ,45195,9.17%,3623
その他野菜,34580,7.02%,6631
とうもろこし,33364,6.77%,2689
サツマイモ,32193,6.53%,3668
アスパラガス,29114,5.91%,2577
トマト,28849,5.85%,3222
セット・詰め合わせ,24231,4.92%,2541
生姜,18135,3.68%,1979
きのこ,17249,3.50%,3669
ジャガイモ,15496,3.14%,2516
らっきょう,14931,3.03%,1590
山菜,12991,2.64%,2003
にんじん,12185,2.47%,1370
カット野菜,12150,2.47%,1599
その他,7184,1.46%,1716
ねぎ,3474,0.70%,942
かぼちゃ,2722,0.55%,565
ごぼう,2084,0.42%,673
キャベツ,1924,0.39%,577
ほうれん草,1748,0.35%,594
ナス,1604,0.33%,524
水煮野菜,1568,0.32%,376
大根,1162,0.24%,488
キュウリ,737,0.15%,262
里芋,673,0.14%,238
レタス,528,0.11%,230
白菜,306,0.06%,155
ニラ,164,0.03%,79
