ジャンル名,売上指数（千円）,シェア,商品ランク入り数
盆提灯,209459,40.44%,12047
仏壇,130754,25.25%,2558
その他,45899,8.86%,6855
具足・仏具セット,23588,4.55%,1927
位牌,21621,4.17%,1457
りん,17157,3.31%,1726
仏像,10704,2.07%,584
経机,9432,1.82%,802
骨壷,9405,1.82%,1207
仏花,8084,1.56%,1273
掛軸,6968,1.35%,920
香炉,4879,0.94%,844
花立,4683,0.90%,854
具足,3461,0.67%,578
線香立,3021,0.58%,1033
仏具用お手入れ用品,1608,0.31%,486
香道具,1584,0.31%,353
香炉灰・香炉石,1248,0.24%,591
木魚,1237,0.24%,180
骨袋,1037,0.20%,268
経本,895,0.17%,376
線香着火器,568,0.11%,260
香立て,445,0.09%,158
水晶玉,176,0.03%,126
