ジャンル名,売上指数（千円）,シェア,商品ランク入り数
スポンジ・たわし・ブラシ,231073,33.53%,33182
その他,139538,20.25%,15691
モップ,79838,11.58%,6464
雑巾・テーブルダスター,32534,4.72%,5033
フローリングワックス,30123,4.37%,2341
ほうき,30071,4.36%,4357
ガラス・サッシ掃除用具,25555,3.71%,3863
フロアワイパー・ダスター本体,22304,3.24%,3863
バケツ,21048,3.05%,2738
フロアワイパー・ダスター取替シート,19563,2.84%,3239
粘着式クリーナー,18720,2.72%,3103
使い捨てクロス,16479,2.39%,2352
トイレポット,8056,1.17%,1088
はたき,6324,0.92%,977
スプレーボトル,3299,0.48%,1070
ちりとり,2768,0.40%,722
ラバーカップ,1126,0.16%,279
モップ絞り器,801,0.12%,134
