ジャンル名,売上指数（千円）,シェア,商品ランク入り数
だし,215684,17.76%,23273
油,182942,15.06%,22658
砂糖・甘味料,87503,7.20%,13425
しお,87139,7.17%,15576
スパイス,74464,6.13%,23848
ソース・たれ,70601,5.81%,19710
しょうゆ,67523,5.56%,17616
みそ,54307,4.47%,15130
酢,48029,3.95%,8451
ふりかけ,42384,3.49%,11960
その他,35848,2.95%,8083
セット・詰め合わせ,29306,2.41%,2886
料理の素,27604,2.27%,9105
ドレッシング,24546,2.02%,8036
麹,23917,1.97%,3274
ミックススパイス・混合調味料,21523,1.77%,6038
めんつゆ,17503,1.44%,4671
中華調味料,16186,1.33%,5785
みりん,15769,1.30%,2441
ポン酢,13881,1.14%,4121
酒粕,8335,0.69%,1689
マヨネーズ,8098,0.67%,2396
アジアン・エスニック調味料,7530,0.62%,2042
韓国調味料,5894,0.49%,2706
ハーブ,5086,0.42%,2918
料理酒,4420,0.36%,1013
ケチャップ,3859,0.32%,1813
わさび,3663,0.30%,1361
ラーメンスープ,3470,0.29%,1089
からし・マスタード,3079,0.25%,1488
ラード,2841,0.23%,182
生わさび,1698,0.14%,322
