ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,85792,39.34%,1851
その他,24185,11.09%,3433
位牌,22184,10.17%,1348
盆提灯,18942,8.69%,1543
りん,13710,6.29%,1343
具足・仏具セット,12987,5.96%,1002
骨壷,9645,4.42%,1164
仏像,7414,3.40%,438
掛軸,3873,1.78%,577
経机,3036,1.39%,340
香炉,2835,1.30%,650
仏花,2735,1.25%,564
花立,2178,1.00%,444
線香立,2012,0.92%,794
具足,1451,0.67%,241
香炉灰・香炉石,969,0.44%,486
骨袋,874,0.40%,305
経本,843,0.39%,401
香道具,708,0.32%,224
仏具用お手入れ用品,673,0.31%,312
香立て,449,0.21%,180
線香着火器,255,0.12%,150
木魚,232,0.11%,35
水晶玉,72,0.03%,18
