ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,742794,29.80%,168013
手帳・ノート・紙製品,496782,19.93%,148951
ギフトラッピング用品,146098,5.86%,68773
画材,127265,5.11%,31593
ファイル・バインダー,125786,5.05%,36522
ラベル・ステッカー,116995,4.69%,39040
机上収納・整理用品,103614,4.16%,18787
その他,95470,3.83%,20833
写真整理用品,92887,3.73%,14345
プレゼンテーション用品,75555,3.03%,9064
書道用具,69954,2.81%,13350
はさみ・裁断用品,63262,2.54%,12618
セロハンテープ・のり・接着剤,48927,1.96%,17343
ブックカバー,35986,1.44%,7495
クリップ・結束用具,25195,1.01%,9898
製図用品,19786,0.79%,7194
名札,14601,0.59%,4363
ホッチキス・穴あきパンチ,14424,0.58%,4427
紙幣計数機・コインカウンタ,13442,0.54%,461
チェックライター・ナンバーリング,13127,0.53%,664
マグネットシート,12311,0.49%,1584
マグネット,10452,0.42%,4351
ブックマーク・しおり,8177,0.33%,2421
画鋲・ピン,6281,0.25%,1440
下敷き,4834,0.19%,2651
製本機,3888,0.16%,834
紙めくり・事務用スポンジ,3113,0.12%,1606
タスキ・腕章,1091,0.04%,226
レタースケール,529,0.02%,78
