ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ドリンクヨーグルト,27589,46.26%,3261
セット・詰め合わせ,9534,15.99%,976
ソフトヨーグルト,8143,13.65%,1537
その他,3812,6.39%,793
無糖ヨーグルト,3195,5.36%,659
ギリシャヨーグルト,3057,5.13%,406
カスピ海ヨーグルト,2797,4.69%,541
低脂肪ヨーグルト,1511,2.53%,260
