ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,102235,21.31%,12983
サラシア,68849,14.35%,1558
マカ,43847,9.14%,4680
スピルリナ,35784,7.46%,0
キノコ・マッシュルーム,33465,6.97%,0
ウコン,28709,5.98%,0
ブルーベリー,23549,4.91%,0
フォルスコリ,20479,4.27%,0
ノコギリヤシ,16677,3.48%,1683
田七人参,13558,2.83%,0
高麗人参,13331,2.78%,870
フコイダン,13081,2.73%,326
クロレラ,12193,2.54%,1132
イチョウ葉,12086,2.52%,1718
梅肉,9615,2.00%,1384
チアシード,4914,1.02%,965
プエラリア,4037,0.84%,603
ニンニク,3448,0.72%,388
トンカットアリ,3358,0.70%,534
アサイー,2794,0.58%,0
セントジョーンズワート,2643,0.55%,619
ゴジベリー,1748,0.36%,185
ビーポーレン,1709,0.36%,200
マキベリー,1434,0.30%,259
カプサイシン,1305,0.27%,266
黒豆,1297,0.27%,0
エキナセア,1183,0.25%,359
ガラナ,747,0.16%,132
カカオ,624,0.13%,0
メシマコブ茸,494,0.10%,99
じゃばら,477,0.10%,188
バジルシード,96,0.02%,0
カムカム,75,0.02%,0
