ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,222797,30.59%,14309
サラシア,89747,12.32%,1914
マカ,65339,8.97%,5094
ブルーベリー,51028,7.01%,3840
キノコ・マッシュルーム,39455,5.42%,2415
ウコン,35826,4.92%,4728
スピルリナ,30951,4.25%,1349
フォルスコリ,27046,3.71%,882
ノコギリヤシ,22642,3.11%,1888
高麗人参,20784,2.85%,1038
イチョウ葉,16187,2.22%,1981
田七人参,15468,2.12%,958
梅肉,13150,1.81%,1494
クロレラ,13131,1.80%,1132
じゃばら,10776,1.48%,749
フコイダン,10527,1.45%,316
ニンニク,6328,0.87%,697
チアシード,5595,0.77%,905
トンカットアリ,5423,0.74%,645
プエラリア,4611,0.63%,547
アサイー,3702,0.51%,427
セントジョーンズワート,3272,0.45%,689
ゴジベリー,2978,0.41%,253
カプサイシン,2455,0.34%,371
ビーポーレン,2201,0.30%,281
マキベリー,1874,0.26%,251
エキナセア,1354,0.19%,374
黒豆,1348,0.19%,129
ガラナ,962,0.13%,142
カカオ,743,0.10%,104
メシマコブ茸,407,0.06%,101
カムカム,93,0.01%,101
バジルシード,36,0.00%,126
