ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,599354,31.75%,11173
入浴剤,331974,17.59%,26058
バスマット,148241,7.85%,11106
ソープボトル・シャンプーボトル,130954,6.94%,8549
整理棚・ラック,125385,6.64%,9588
椅子,88590,4.69%,5238
風呂ふた,74971,3.97%,4138
その他,74712,3.96%,10464
自動ソープディスペンサー,65890,3.49%,2204
タオルハンガー,63126,3.34%,6043
サウナハット,38288,2.03%,1890
ボディタオル,30209,1.60%,6559
洗面器・風呂桶,24956,1.32%,2604
浴槽・浴室内マット,20256,1.07%,1738
石けんケース・石けん台,12259,0.65%,2817
ボディスポンジ,11560,0.61%,2059
セット,11201,0.59%,884
ボディブラシ,8893,0.47%,1457
バス保温器,7667,0.41%,291
シャワーヘッドホルダー・シャワーフック,6931,0.37%,1042
シャワーカーテン,5757,0.31%,1245
バスピロー,2732,0.14%,439
泡立てネット,1591,0.08%,468
バスブーツ,1120,0.06%,222
軽石,904,0.05%,313
