ジャンル名,売上指数（千円）,シェア,商品ランク入り数
お茶・紅茶,2077070,28.83%,166286
コーヒー,1870186,25.96%,106939
水・炭酸水,964756,13.39%,31000
炭酸飲料,784848,10.90%,29791
野菜・果実飲料,617492,8.57%,31000
スポーツドリンク,254496,3.53%,16341
植物性ミルク,122901,1.71%,14826
お酢飲料,102867,1.43%,8933
乳酸菌飲料,85529,1.19%,9947
希釈用ドリンク,69601,0.97%,6416
甘酒,67646,0.94%,6866
その他,58519,0.81%,6036
ゼリー飲料,44191,0.61%,5395
スムージー,30311,0.42%,1579
牛乳,20318,0.28%,2464
ココア・チョコレートドリンク,19688,0.27%,3406
フルーツ入り乳飲料,5088,0.07%,545
生姜湯,4898,0.07%,629
柚子茶,3313,0.05%,238
