ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,126709,20.64%,19429
サツマイモ,94918,15.46%,7678
にんにく,76944,12.53%,6072
その他野菜,45837,7.47%,9611
きのこ,37873,6.17%,5711
生姜,30190,4.92%,2019
セット・詰め合わせ,30180,4.92%,3210
たまねぎ,28878,4.70%,3054
ジャガイモ,24694,4.02%,3293
カット野菜,19360,3.15%,1452
トマト,17557,2.86%,2424
にんじん,15756,2.57%,2007
その他,13009,2.12%,2746
ねぎ,12473,2.03%,1961
里芋,5947,0.97%,1126
山菜,5431,0.88%,919
ごぼう,5292,0.86%,1062
かぼちゃ,4345,0.71%,845
とうもろこし,3247,0.53%,935
大根,2904,0.47%,812
キャベツ,2751,0.45%,740
ほうれん草,2714,0.44%,743
水煮野菜,1957,0.32%,392
らっきょう,1398,0.23%,246
白菜,864,0.14%,361
レタス,777,0.13%,305
アスパラガス,732,0.12%,230
ナス,551,0.09%,248
キュウリ,404,0.07%,187
ニラ,255,0.04%,130
