ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆乳,60064,71.11%,7994
アーモンドミルク,15849,18.76%,1612
その他,7762,9.19%,1087
ライスミルク,603,0.71%,189
ココナッツミルク,190,0.23%,146
