ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,58211,28.39%,7879
こめ油,36186,17.65%,2779
ココナッツオイル,21578,10.52%,2159
その他,20591,10.04%,2739
ごま油,18349,8.95%,2959
亜麻仁油,13792,6.73%,1392
なたね油・キャノーラ油,8858,4.32%,1321
サラダ油,7720,3.76%,492
えごま油,7586,3.70%,1126
グレープシードオイル,3117,1.52%,190
セット・詰め合わせ,2928,1.43%,534
大豆油,2928,1.43%,175
椿油,710,0.35%,89
トリュフオイル,654,0.32%,128
ひまわり油,609,0.30%,120
アボカドオイル,487,0.24%,84
べに花油,432,0.21%,73
ピーナッツオイル,151,0.07%,34
玄米油,140,0.07%,23
コーン油,26,0.01%,8
マスタードオイル,14,0.01%,6
