ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,138655,37.75%,10218
こめ油,65156,17.74%,3246
ココナッツオイル,33262,9.06%,2289
ごま油,31507,8.58%,3312
亜麻仁油,21557,5.87%,1391
その他,20980,5.71%,2801
なたね油・キャノーラ油,14522,3.95%,1403
えごま油,11980,3.26%,1202
サラダ油,9209,2.51%,516
グレープシードオイル,6878,1.87%,262
セット・詰め合わせ,4793,1.31%,666
大豆油,4024,1.10%,187
トリュフオイル,1303,0.35%,175
ひまわり油,869,0.24%,136
椿油,852,0.23%,100
アボカドオイル,778,0.21%,94
べに花油,555,0.15%,70
ピーナッツオイル,217,0.06%,29
玄米油,147,0.04%,27
コーン油,43,0.01%,11
マスタードオイル,11,0.00%,3
