ジャンル名,売上指数（千円）,シェア,商品ランク入り数
鶏卵,30435,84.60%,3485
うずら卵,1591,4.42%,326
その他,1565,4.35%,414
燻製卵・くんたま,836,2.32%,205
セット・詰め合わせ,497,1.38%,130
烏骨鶏卵,428,1.19%,73
ピータン,348,0.97%,146
温泉たまご,275,0.76%,92
