ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,384652,30.96%,9675
入浴剤,178549,14.37%,24031
ソープボトル・シャンプーボトル,90564,7.29%,7890
バスマット,84534,6.80%,8956
その他,75568,6.08%,9129
整理棚・ラック,70399,5.67%,8299
風呂ふた,61122,4.92%,3817
椅子,61039,4.91%,5390
タオルハンガー,42184,3.40%,5543
自動ソープディスペンサー,39929,3.21%,2129
ボディタオル,27128,2.18%,6946
サウナハット,20544,1.65%,1995
石けんケース・石けん台,18017,1.45%,3340
浴槽・浴室内マット,17174,1.38%,1783
ボディブラシ,14733,1.19%,1603
ボディスポンジ,11589,0.93%,2035
洗面器・風呂桶,10796,0.87%,2380
セット,10432,0.84%,750
バス保温器,8222,0.66%,283
シャワーヘッドホルダー・シャワーフック,7170,0.58%,1441
シャワーカーテン,4260,0.34%,1027
バスピロー,1515,0.12%,292
泡立てネット,1072,0.09%,438
バスブーツ,628,0.05%,194
軽石,542,0.04%,261
