ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1650034,24.28%,37817
その他,1589690,23.40%,31000
ビタミン,598400,8.81%,38341
ファイトケミカル,520478,7.66%,14947
植物性エキス,516130,7.60%,44685
アミノ酸,496458,7.31%,24071
ミネラル,244813,3.60%,23873
プロバイオティクス,210012,3.09%,11128
脂肪酸・オイル,160442,2.36%,10622
コラーゲン,158034,2.33%,10299
酵素,149727,2.20%,11129
食物繊維,84907,1.25%,6446
プラセンタ,71622,1.05%,3869
グルコサミン・コンドロイチン,61668,0.91%,4106
ビタミン・ミネラル混合,50810,0.75%,2812
動物性エキス,50016,0.74%,4219
クエン酸,46865,0.69%,3836
ラクトフェリン,27983,0.41%,897
ヒアルロン酸,19364,0.28%,1456
オリゴ糖,18949,0.28%,2056
プロポリス,18893,0.28%,2027
ローヤルゼリー,18113,0.27%,1232
ミドリムシ,14019,0.21%,961
動植物性混合エキス,12133,0.18%,1193
核酸,5262,0.08%,446
