ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,305091,24.39%,7276
みかん,141266,11.30%,10060
マンゴー,124194,9.93%,4782
メロン,113675,9.09%,6410
セット・詰め合わせ,100257,8.02%,4420
梅,98443,7.87%,6319
りんご,51195,4.09%,3264
桃,43477,3.48%,3147
スイカ,38213,3.06%,3134
ブドウ,25252,2.02%,1793
レモン,23708,1.90%,2731
ブルーベリー,22982,1.84%,1345
ライチ,22564,1.80%,926
いちご,18590,1.49%,2143
その他,16925,1.35%,2793
びわ,13590,1.09%,1052
柿,13360,1.07%,833
パイナップル,11637,0.93%,1504
オレンジ,10975,0.88%,1311
キウイフルーツ,6011,0.48%,835
あんず,5941,0.48%,533
和梨,5923,0.47%,420
グレープフルーツ,4288,0.34%,549
栗,4042,0.32%,483
ザクロ,3832,0.31%,295
ドリアン,3796,0.30%,290
バナナ,3580,0.29%,633
プラム,3545,0.28%,423
パッションフルーツ,2506,0.20%,259
アボカド,2289,0.18%,341
マンゴスチン,2229,0.18%,182
すだち,2182,0.17%,318
イチジク,1471,0.12%,214
パパイヤ,1175,0.09%,212
ドラゴンフルーツ,812,0.06%,178
じゃばら,626,0.05%,130
ゆず,506,0.04%,158
ミラクルフルーツ,172,0.01%,102
かぼす,170,0.01%,120
洋梨,142,0.01%,203
