ジャンル名,売上指数（千円）,シェア,商品ランク入り数
入浴剤,415961,23.42%,29047
シャワーヘッド,400709,22.56%,10185
その他,135436,7.63%,11278
ソープボトル・シャンプーボトル,129301,7.28%,8909
整理棚・ラック,122564,6.90%,10580
バスマット,107448,6.05%,10430
自動ソープディスペンサー,78309,4.41%,2685
椅子,75069,4.23%,5446
風呂ふた,64356,3.62%,3768
タオルハンガー,61283,3.45%,6990
ボディタオル,34480,1.94%,6785
サウナハット,27360,1.54%,2527
浴槽・浴室内マット,20732,1.17%,2234
石けんケース・石けん台,17194,0.97%,3425
ボディブラシ,16943,0.95%,1676
バス保温器,14044,0.79%,391
洗面器・風呂桶,13148,0.74%,2753
セット,11387,0.64%,937
シャワーヘッドホルダー・シャワーフック,9306,0.52%,1639
ボディスポンジ,8150,0.46%,1884
シャワーカーテン,6477,0.36%,1344
バスピロー,3039,0.17%,544
泡立てネット,1307,0.07%,465
バスブーツ,1238,0.07%,265
軽石,723,0.04%,279
