ジャンル名,売上指数（千円）,シェア,商品ランク入り数
サバ,492306,18.00%,4487
サケ,295023,10.78%,9832
エビ,270236,9.88%,6633
カニ,262105,9.58%,7263
加工品,234026,8.55%,21973
魚卵,201210,7.36%,11420
貝類,197550,7.22%,13538
マグロ,149977,5.48%,5044
セット・詰め合わせ,138573,5.07%,9433
イカ,90751,3.32%,10108
海藻類,80181,2.93%,10613
アジ,65277,2.39%,1510
その他水産物,45764,1.67%,6179
ホッケ,41965,1.53%,1047
ウニ,31747,1.16%,1844
サンマ,25150,0.92%,1075
カツオ,22681,0.83%,1903
タイ,15563,0.57%,1830
フグ,13597,0.50%,1208
ブリ,12848,0.47%,624
イワシ,10911,0.40%,2749
その他,10615,0.39%,1562
タコ,10071,0.37%,1567
タラ,8242,0.30%,934
シシャモ,6651,0.24%,425
生ちりめん・生しらす,2619,0.10%,475
