ジャンル名,売上指数（千円）,シェア,商品ランク入り数
物干しスタンド,124850,28.07%,9926
ランドリーラック,80510,18.10%,4613
物干しハンガー,74135,16.67%,12770
その他,71607,16.10%,9124
物干し竿,37455,8.42%,3928
洗濯ネット,23769,5.34%,6023
物干し金物,9787,2.20%,1258
洗濯ボール,8246,1.85%,954
タライ,6200,1.39%,739
洗濯バサミ,5571,1.25%,2352
平干しネット,1629,0.37%,459
洗濯板,987,0.22%,359
アイロン台(1703削除),0,0.00%,4158
