ジャンル名,売上指数（千円）,シェア,商品ランク入り数
その他,27620,27.06%,2560
クエ,17953,17.59%,526
ナマコ,10570,10.35%,560
アンコウ,8874,8.69%,699
カレイ,4455,4.36%,842
ハタハタ,3887,3.81%,540
カンパチ,3592,3.52%,285
ニシン,3554,3.48%,1080
ノドグロ,3003,2.94%,484
エイ,2709,2.65%,566
サメ,2111,2.07%,303
アユ,2026,1.98%,533
カワハギ,1851,1.81%,445
トビウオ,1645,1.61%,317
ヒラメ,1559,1.53%,220
クラゲ,1201,1.18%,327
マス,851,0.83%,152
サワラ,754,0.74%,158
コイ,750,0.73%,197
カジキ,661,0.65%,126
ハモ,601,0.59%,120
アカメ・メヒカリ,561,0.55%,124
キス,390,0.38%,156
イワナ,361,0.35%,41
カサゴ,92,0.09%,31
スズキ,80,0.08%,13
タチウオ,79,0.08%,30
メバル,68,0.07%,24
サヨリ,67,0.07%,17
カマス,58,0.06%,34
アイナメ,23,0.02%,7
ヤマメ,19,0.02%,8
コチ,15,0.01%,4
イサキ,14,0.01%,8
オコゼ,14,0.01%,4
アラ,10,0.01%,7
