ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ワッペン・アップリケ,28209,12.46%,23845
リボン,23594,10.42%,20953
手芸用テープ,19803,8.75%,14074
ひも,19443,8.59%,10660
その他,17458,7.71%,9026
ファスナー,15870,7.01%,10729
ボタン,14564,6.43%,13302
ミシン糸,13907,6.14%,8155
レース,13184,5.82%,14089
接着テープ・接着芯,9754,4.31%,4321
持ち手・ハンドル,6761,2.99%,2581
口金,6025,2.66%,3031
ゴム,5655,2.50%,4069
ホック,4924,2.18%,2639
芯地,4671,2.06%,1540
面ファスナー,4103,1.81%,1463
型紙・パターン,3706,1.64%,2752
手縫い糸,3400,1.50%,2923
バックル,2888,1.28%,2488
ブレード,2494,1.10%,2333
ネームシール,1735,0.77%,1022
チェーン,1284,0.57%,1098
スパンコール,1202,0.53%,1688
裏地,1195,0.53%,655
マラボー,272,0.12%,139
肩パット,244,0.11%,223
