ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,405595,25.71%,126928
手帳・ノート・紙製品,353447,22.41%,143774
ギフトラッピング用品,98853,6.27%,62240
その他,98631,6.25%,24335
画材,80579,5.11%,27643
ファイル・バインダー,79352,5.03%,28744
机上収納・整理用品,67728,4.29%,15242
ラベル・ステッカー,65743,4.17%,35646
プレゼンテーション用品,64856,4.11%,9147
写真整理用品,62864,3.99%,12309
書道用具,36329,2.30%,10875
はさみ・裁断用品,31813,2.02%,9488
セロハンテープ・のり・接着剤,31336,1.99%,14417
ブックカバー,21304,1.35%,6765
製図用品,14484,0.92%,6639
クリップ・結束用具,11646,0.74%,7935
名札,9540,0.60%,3939
ホッチキス・穴あきパンチ,8347,0.53%,3762
マグネット,7052,0.45%,3874
紙幣計数機・コインカウンタ,6278,0.40%,359
マグネットシート,5912,0.37%,1255
画鋲・ピン,3857,0.24%,1336
製本機,3078,0.20%,1050
ブックマーク・しおり,2248,0.14%,1542
チェックライター・ナンバーリング,1882,0.12%,227
下敷き,1632,0.10%,1483
紙めくり・事務用スポンジ,1581,0.10%,1399
タスキ・腕章,808,0.05%,258
レタースケール,592,0.04%,133
