ジャンル名,売上指数（千円）,シェア,商品ランク入り数
絵具,84606,57.14%,12572
その他,16125,10.89%,4372
額縁,13217,8.93%,2293
画材用紙,11105,7.50%,5635
キャンバス・パネル,7030,4.75%,1632
クレヨン,6479,4.38%,2274
イーゼル,3710,2.51%,535
筆,3324,2.24%,1714
エアブラシ,755,0.51%,158
つけペン,688,0.46%,251
パレット・絵皿,585,0.40%,255
スケッチバッグ,451,0.30%,185
