ジャンル名,売上指数（千円）,シェア,商品ランク入り数
コーヒー,1818709,24.14%,106240
野菜・果実飲料,1734320,23.02%,30224
お茶・紅茶,1586322,21.06%,163686
水・炭酸水,1082020,14.36%,30069
炭酸飲料,630659,8.37%,28034
スポーツドリンク,123819,1.64%,9070
植物性ミルク,115899,1.54%,11412
乳酸菌飲料,104248,1.38%,9324
お酢飲料,78050,1.04%,8419
甘酒,72807,0.97%,8082
その他,57978,0.77%,6069
希釈用ドリンク,33320,0.44%,4421
ココア・チョコレートドリンク,23721,0.31%,4489
ゼリー飲料,21508,0.29%,2954
牛乳,20959,0.28%,2513
スムージー,13188,0.18%,1211
生姜湯,6981,0.09%,1379
フルーツ入り乳飲料,4130,0.05%,552
柚子茶,3835,0.05%,449
