ジャンル名,売上指数（千円）,シェア,商品ランク入り数
プロテイン,1383511,21.02%,36245
その他,1209878,18.38%,31000
植物性エキス,664666,10.10%,49281
ビタミン,625259,9.50%,38702
ファイトケミカル,495307,7.52%,14876
アミノ酸,457462,6.95%,23289
ミネラル,300394,4.56%,24657
プロバイオティクス,234589,3.56%,12035
コラーゲン,210168,3.19%,10830
脂肪酸・オイル,191179,2.90%,11267
酵素,164064,2.49%,11098
食物繊維,115492,1.75%,7252
グルコサミン・コンドロイチン,84067,1.28%,4751
プラセンタ,80002,1.22%,4004
ビタミン・ミネラル混合,78687,1.20%,2711
動物性エキス,71580,1.09%,4545
ラクトフェリン,38074,0.58%,1043
クエン酸,37658,0.57%,3405
プロポリス,26644,0.40%,2596
ヒアルロン酸,25165,0.38%,1630
ローヤルゼリー,23876,0.36%,1238
オリゴ糖,23111,0.35%,2228
動植物性混合エキス,20727,0.31%,1194
ミドリムシ,15037,0.23%,878
核酸,6347,0.10%,404
