ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,521508,22.08%,10521
肩ロース,379137,16.05%,6795
タン,304586,12.90%,7855
その他,299015,12.66%,11310
モモ,204065,8.64%,7046
バラ・カルビ,160882,6.81%,4822
サーロイン,140599,5.95%,4394
リブロース,107529,4.55%,2279
ホルモン,71471,3.03%,4827
ヒレ・シャトーブリアン,62343,2.64%,2160
ハラミ,37391,1.58%,1825
みすじ,34321,1.45%,723
ランプ,15110,0.64%,956
レバー,8233,0.35%,616
スネ,4867,0.21%,565
ミノ,4386,0.19%,466
テール,3882,0.16%,403
ハチノス,928,0.04%,186
ハツ,896,0.04%,199
ギアラ・赤センマイ,701,0.03%,161
